DATE_OBS             IT02SMIR  IT01PMRF  IT04TELF  IT03PMRA  IT06TELM  IT05TELA  IT08GTWM  IT07PZTA  IT10CEBN   IT09GTB  IT12HOPA  IT11CEBP  IT14SPPX  IT13FRAP  IT16SPNX  IT15SPPY  IT18SPPZ  IT17SPNY  IT20PMRA  IT19SPNZ  IT22PCBP  IT21TELD   IT24CPU  IT23PCPC  IT26MEC1   IT25OSC  IT28SMRA  IT27MEC2  IT30TMGT  IT29TFGT  BT12CCD2  BT11CCD1  BT14CCD4  BT13CCD3  BT01TELA  BT02TELF  BT03PMAP  BT04PMRD  BT05GTEL  BT06CBPX  BT07CBNX  BT08SPPX  BT09SPNX  BT10HOPA   BT15IEB  BT16PMSP  BT17SMAP  ITF2CCD2  ITF1CCD1  ITNUCCD3  ITSJCCD4
2016-07-26T00:00:30     29.70     43.08     28.79     40.84     23.60     32.52     27.73     30.43      1.21     20.98     89.49      0.90     19.01     30.27     18.97     21.71     24.26     21.46     11.63      6.88     28.98     33.15     33.53     35.86     30.16     31.54     30.22     29.11     20.65     25.75    -63.45    -63.45    -54.24    -54.24     33.44     28.31     11.71      4.39     23.92     -0.25      0.48     18.55     17.73     92.03     29.05     30.76     30.51    -63.00    -63.00    -63.00    -63.58
2016-07-26T00:01:30     29.67     43.05     28.79     40.86     23.63     32.51     27.77     30.50      1.21     21.00     89.44      0.90     19.00     30.28     18.99     21.71     24.28     21.46     11.71      6.87     28.94     33.20     33.49     35.83     30.13     31.52     30.23     29.08     20.68     25.80    -63.45    -63.45    -54.24    -54.24     33.44     28.40     11.87      4.39     23.84     -0.25      0.48     18.55     17.65     92.03     28.88     30.76     30.51    -63.00    -63.00    -63.00    -63.83
2016-07-26T00:02:30     29.69     43.01     28.81     40.88     23.61     32.46     27.78     30.58      1.22     20.99     89.60      0.91     18.97     30.33     18.97     21.72     24.28     21.46     11.78      6.86     28.90     33.18     33.47     35.81     30.10     31.48     30.24     29.03     20.73     25.82    -63.45    -63.45    -54.24    -54.24     33.44     28.48     11.96      4.47     23.67     -0.25      0.48     18.55     17.82     92.03     28.80     30.76     30.51    -63.00    -63.17    -62.92    -63.58
2016-07-26T00:03:30     29.69     42.99     28.81     40.83     23.62     32.48     27.79     30.65      1.21     20.99     89.39      0.90     19.01     30.35     18.99     21.69     24.30     21.47     11.83      6.86     28.88     33.20     33.40     35.74     30.04     31.45     30.23     28.99     20.77     25.87    -63.45    -63.45    -54.24    -54.24     33.44     28.56     11.96      4.55     23.92     -0.25      0.48     18.55     17.73     92.03     28.80     30.76     30.51    -63.00    -63.00    -62.92    -63.83
2016-07-26T00:04:30     29.68     43.00     28.81     40.89     23.61     32.43     27.81     30.70      1.21     21.01     89.33      0.91     18.99     30.39     18.97     21.71     24.31     21.48     11.89      6.85     28.83     33.22     33.39     35.75     30.01     31.45     30.24     28.97     20.81     25.89    -63.45    -63.45    -54.24    -54.24     33.44     28.56     11.96      4.63     23.84     -0.25      0.48     18.55     17.82     92.03     28.80     30.76     30.51    -63.00    -63.17    -62.92    -63.92
2016-07-26T00:05:30     29.69     43.01     28.82     40.86     23.60     32.43     27.81     30.77      1.21     20.98     89.17      0.91     18.99     30.40     19.01     21.70     24.31     21.47     11.94      6.85     28.83     33.23     33.36     35.72     29.98     31.41     30.23     28.90     20.85     25.95    -63.45    -63.45    -54.24    -54.24     33.52     28.80     12.12      4.63     23.76     -0.25      0.48     18.55     17.73     92.03     28.80     30.76     30.51    -63.00    -63.17    -62.92    -63.92
2016-07-26T00:06:30     29.71     43.01     28.83     40.85     23.60     32.41     27.82     30.82      1.22     20.98     89.28      0.93     18.99     30.41     18.96     21.70     24.31     21.50     12.00      6.84     28.79     33.23     33.32     35.67     29.95     31.36     30.24     28.88     20.92     25.97    -63.45    -63.45    -54.24    -54.24     33.44     28.88     12.20      4.63     23.67     -0.25      0.48     18.55     17.82     92.03     28.80     30.76     30.51    -63.00    -63.25    -63.00    -63.92
2016-07-26T00:07:30     29.69     43.02     28.86     40.86     23.60     32.41     27.83     30.92      1.23     20.97     89.39      0.94     18.98     30.43     18.99     21.71     24.32     21.47     12.04      6.84     28.74     33.27     33.30     35.59     29.93     31.34     30.25     28.84     20.99     26.02    -63.45    -63.45    -54.24    -54.24     33.52     28.88     12.20      4.63     23.76     -0.25      0.48     18.55     17.82     92.03     28.80     30.76     30.51    -63.00    -63.08    -63.00    -63.92
2016-07-26T00:08:30     29.67     43.03     28.84     40.85     23.61     32.39     27.83     30.96      1.23     20.98     89.44      0.95     18.98     30.43     19.01     21.69     24.34     21.47     12.07      6.83     28.71     33.29     33.30     35.57     29.87     31.29     30.25     28.81     21.06     26.09    -63.45    -63.45    -54.24    -54.24     33.60     29.05     12.20      4.63     23.67     -0.25      0.48     18.55     17.82     92.03     28.80     30.76     30.51    -63.00    -63.00    -63.00    -63.75
2016-07-26T00:09:30     29.68     43.02     28.84     40.86     23.61     32.38     27.84     30.99      1.24     20.96     89.50      0.96     19.01     30.47     18.95     21.70     24.34     21.47     12.08      6.83     28.71     33.29     33.29     35.55     29.84     31.26     30.26     28.79     21.14     26.14    -63.45    -63.45    -54.24    -54.24     33.68     29.05     12.20      4.63     23.67     -0.25      0.48     18.55     17.65     91.87     28.80     30.76     30.51    -63.00    -63.25    -62.92    -63.83
