                                     Long Mnemonic                Short Mnemonic   FITS Keyword
        SECONDARY_MIRROR_HOUSING_HOZ4_CONTROL_TS02        I_TS02_SEC_MIR_HOUSING    IT02SMIR
                     PRIMARY_MIRROR_MOUNT_NUB_TS01        I_TS01_PRI_MIR_MNT_FWD    IT01PMRF
         TELESCOPE_FORWARD_RING_NEAR_GT_MOUNT_TS04        I_TS04_TELE_FWD_FLANGE    IT04TELF
                               PRIMARY_MIRROR_TS03        I_TS03_PRI_MIR_MNT_AFT    IT03PMRA
             TELESCOPE_MID_RING_NEAR_GT_MOUNT_TS06          I_TS06_TELE_MID_RING    IT06TELM
                 TELESCOPE_AFT_FLANGE_NEAR_PM_TS05        I_TS05_TELE_AFT_FLANGE    IT05TELA
               GUIDE_TELESCOPE_WEDGE_HC_MOTOR_TS08         I_TS08_GT_WEDGE_MOTOR    IT08GTWM
                        PZT_PRENEGAMP_HOUSING_TS07            I_TS07_PZT_PRE_AMP    IT07PZTA
                               CEB_1_EXTERNAL_TS10         I_TS10_CEB_NEG_X_AXIS    IT10CEBN
          GUIDE_TELESCOPE_BARLOW_HOZ3_CONTROL_TS09              I_TS09_GT_BARLOW     IT09GTB
                                 HOPA_ON_DOOR_TS12                   I_TS12_HOPA    IT12HOPA
                               CEB_2_EXTERNAL_TS11         I_TS11_CEB_POS_X_AXIS    IT11CEBP
     SPECTROGRAPH_OPTICS_PACKAGE_HOZ5_CONTROL_TS14         I_TS14_SPECT_OP_POS_X    IT14SPPX
           FRONT_APERTURE_ASSEMBLY_NEAR_HINGE_TS13         I_TS13_FRNT_APER_ASSY    IT13FRAP
     SPECTROGRAPH_OPTICS_PACKAGE_HOZ7_CONTROL_TS16         I_TS16_SPECT_OP_NEG_X    IT16SPNX
     SPECTROGRAPH_OPTICS_PACKAGE_HOZ6_CONTROL_TS15         I_TS15_SPECT_OP_POS_Y    IT15SPPY
                  SPECTROGRAPH_OPTICS_PACKAGE_TS18         I_TS18_SPECT_OP_POS_Z    IT18SPPZ
     SPECTROGRAPH_OPTICS_PACKAGE_HOZ8_CONTROL_TS17         I_TS17_SPECT_OP_NEG_Y    IT17SPNY
   PRIMARY_MIRROR_ABSORBER_PLATE_HOZ2_CONTROL_TS20            I_TS20_PRI_MIR_ABS    IT20PMRA
                  SPECTROGRAPH_OPTICS_PACKAGE_TS19         I_TS19_SPECT_OP_NEG_Z    IT19SPNZ
                     IEB_POWER_CONVERTER_BASE_TS22       I_TS22_IEB_PCONV_BPLATE    IT22PCBP
               TELESCOPE_TUBE_NEAR_AFT_FLANGE_TS21           I_TS21_TELE_ADAPTER    IT21TELD
                      IEB_PROCESSOR_BOARD_CPU_TS24                I_TS24_IEB_CPU     IT24CPU
                 IEB_POWER_CONVERTER_HOT_COMP_TS23       I_TS23_IEB_PCONV_HOTCMP    IT23PCPC
           IEB_MECH_BOARD_1_HOTTEST_COMPONENT_TS26       I_TS26_IEB_MECH_BOARD_1    IT26MEC1
                IEB_ON_BOARD_CLOCK_OSCILLATOR_TS25            I_TS25_IEB_OBC_OSC     IT25OSC
              SECONDARY_MIRROR_ABSORBER_PLATE_TS28        I_TS28_SEC_MIR_ABS_PLT    IT28SMRA
           IEB_MECH_BOARD_2_HOTTEST_COMPONENT_TS27       I_TS27_IEB_MECH_BOARD_2    IT27MEC2
               TELESCOPE_MID_RING_AT_GT_MOUNT_TS30       I_TS30_TELE_MID_RING_GT    IT30TMGT
             TELESCOPE_FWD_FLANGE_AT_GT_MOUNT_TS29       I_TS29_TELE_FWD_FLNG_GT    IT29TFGT
                                          CCD2_FUV           B_HW_TSC12_CCD2_FUV    BT12CCD2
                                          CCD1_FUV           B_HW_TSC11_CCD1_FUV    BT11CCD1
                                          CCD4_SJI           B_HW_TSC14_CCD4_SJI    BT14CCD4
                                          CCD3_NUV           B_HW_TSC13_CCD3_NUV    BT13CCD3
                                               AFT      B_HW_TSC01_TELESCOPE_AFT    BT01TELA
                                            FOWARD      B_HW_TSC02_TELESCOPE_FWD    BT02TELF
                     PRIMARY_MIRROR_ABSORBER_PLATE       B_HW_TSC03_PM_ABS_PLATE    BT03PMAP
                           PRIMARY_MIRROR_RADIATOR        B_HW_TSC04_PM_RADIATOR    BT04PMRD
                                   GUIDE_TELESCOPE         B_HW_TSC05_GUIDE_TELE    BT05GTEL
                              CEB_ON_THE_POSX_AXIS          B_HW_TSC06_CEB_X_POS    BT06CBPX
                              CEB_ON_THE_NEGX_AXIS          B_HW_TSC07_CEB_X_NEG    BT07CBNX
             SPECTROGRAPH_OPTICS_PACKAGE_POSX_AXIS      B_HW_TSC08_SPEC_OP_X_POS    BT08SPPX
             SPECTROGRAPH_OPTICS_PACKAGE_NEGX_AXIS      B_HW_TSC09_SPEC_OP_X_NEG    BT09SPNX
                                              HOPA               B_HW_TSC10_HOPA    BT10HOPA
                                   ELECTRONICS_BOX        B_HW_TSC15_IEB_PRIMARY     BT15IEB
                      PRIMARY_MIRROR_SUPPORT_PLATE   B_HW_TSC16_PM_SUPPORT_PLATE    BT16PMSP
                    SECONDARY_MIRROR_SUPPORT_PLATE    B_HW_TSC17_SM_ABSORB_PLATE    BT17SMAP
                               CCD2_FUV2_OPERATING               I_CEB_CCD2_FUV2    ITF2CCD2
                               CCD1_FUV1_OPERATING               I_CEB_CCD1_FUV1    ITF1CCD1
                                CCD3_NUV_OPERATING                I_CEB_CCD3_NUV    ITNUCCD3
                                CCD4_SJI_OPERATING                I_CEB_CCD4_SJI    ITSJCCD4
