#2015/10 Number Pass = 74 (98.6667%)
                               file                  time    pass    total5   exptime
            FUV20151022_020742.fits   2015/10/22T02:07:42       1        75      0.13
            FUV20151022_020755.fits   2015/10/22T02:07:55       1        57      1.02
            FUV20151022_020816.fits   2015/10/22T02:08:16       1        86      5.02
            FUV20151022_020927.fits   2015/10/22T02:09:27       1        54     30.02
            FUV20151022_021242.fits   2015/10/22T02:12:42       1        30      0.13
            FUV20151022_021255.fits   2015/10/22T02:12:55       1        84      1.03
            FUV20151022_021316.fits   2015/10/22T02:13:16       1        71      5.02
            FUV20151022_021427.fits   2015/10/22T02:14:27       1        51     30.02
            FUV20151022_021742.fits   2015/10/22T02:17:42       1        19      0.13
            FUV20151022_021755.fits   2015/10/22T02:17:55       1        35      1.02
            FUV20151022_021816.fits   2015/10/22T02:18:16       1        50      5.02
            FUV20151022_021927.fits   2015/10/22T02:19:27       1        45     30.02
            FUV20151022_022242.fits   2015/10/22T02:22:42       1         7      0.13
            FUV20151022_022255.fits   2015/10/22T02:22:55       1        26      1.02
            FUV20151022_022316.fits   2015/10/22T02:23:16       1        57      5.02
            FUV20151022_022427.fits   2015/10/22T02:24:27       1        62     30.02
            FUV20151022_022742.fits   2015/10/22T02:27:42       1         4      0.13
            FUV20151022_022755.fits   2015/10/22T02:27:55       1        28      1.03
            FUV20151022_022816.fits   2015/10/22T02:28:16       1        56      5.02
            FUV20151022_022927.fits   2015/10/22T02:29:27       1        67     30.02
            FUV20151022_023242.fits   2015/10/22T02:32:42       1        17      0.13
            FUV20151022_023255.fits   2015/10/22T02:32:55       1        55      1.03
            FUV20151022_023316.fits   2015/10/22T02:33:16       1        52      5.02
            FUV20151022_023427.fits   2015/10/22T02:34:27       1        67     30.02
            FUV20151022_023742.fits   2015/10/22T02:37:42       1       142      0.13
            FUV20151022_023755.fits   2015/10/22T02:37:55       1        56      1.03
            FUV20151022_023816.fits   2015/10/22T02:38:16       1        78      5.02
            FUV20151022_023927.fits   2015/10/22T02:39:27       1        51     30.02
            FUV20151022_024242.fits   2015/10/22T02:42:42       1        37      0.13
            FUV20151022_024255.fits   2015/10/22T02:42:55       1        57      1.02
            FUV20151022_024316.fits   2015/10/22T02:43:16       1        84      5.02
            FUV20151022_024427.fits   2015/10/22T02:44:27       1        49     30.02
            FUV20151022_024742.fits   2015/10/22T02:47:42       1        33      0.13
            FUV20151022_024755.fits   2015/10/22T02:47:55       1       149      1.03
            FUV20151022_024816.fits   2015/10/22T02:48:16       1        69      5.02
            FUV20151022_024927.fits   2015/10/22T02:49:27       1        51     30.02
            FUV20151022_025242.fits   2015/10/22T02:52:42       1        27      0.13
            FUV20151022_025255.fits   2015/10/22T02:52:55       1        76      1.02
            FUV20151022_025316.fits   2015/10/22T02:53:16       1        75      5.02
            FUV20151022_025427.fits   2015/10/22T02:54:27       1        64     30.02
            FUV20151022_025742.fits   2015/10/22T02:57:42       1        49      0.13
            FUV20151022_025755.fits   2015/10/22T02:57:55       1       153      1.03
            FUV20151022_025816.fits   2015/10/22T02:58:16       1        91      5.02
            FUV20151022_025927.fits   2015/10/22T02:59:27       1        51     30.02
            FUV20151022_030242.fits   2015/10/22T03:02:42       1        12      0.13
            FUV20151022_030255.fits   2015/10/22T03:02:55       1        40      1.03
            FUV20151022_030316.fits   2015/10/22T03:03:16       1        52      5.02
            FUV20151022_030427.fits   2015/10/22T03:04:27       1        50     30.02
            FUV20151022_030742.fits   2015/10/22T03:07:42       1         4      0.13
            FUV20151022_030755.fits   2015/10/22T03:07:55       1        25      1.02
            FUV20151022_030816.fits   2015/10/22T03:08:16       1        52      5.02
            FUV20151022_030927.fits   2015/10/22T03:09:27       1        39     30.02
            FUV20151022_031242.fits   2015/10/22T03:12:42       1         4      0.13
            FUV20151022_031255.fits   2015/10/22T03:12:55       1        41      1.03
            FUV20151022_031316.fits   2015/10/22T03:13:16       0        16      5.02
            FUV20151022_031427.fits   2015/10/22T03:14:27       1        56     30.02
            FUV20151022_031742.fits   2015/10/22T03:17:42       1         6      0.13
            FUV20151022_031755.fits   2015/10/22T03:17:55       1        33      1.02
            FUV20151022_031816.fits   2015/10/22T03:18:16       1        45      5.02
            FUV20151022_031927.fits   2015/10/22T03:19:27       1        36     30.02
            FUV20151022_032242.fits   2015/10/22T03:22:42       1        32      0.13
            FUV20151022_032255.fits   2015/10/22T03:22:55       1        66      1.02
            FUV20151022_032316.fits   2015/10/22T03:23:16       1        58      5.02
            FUV20151022_032427.fits   2015/10/22T03:24:27       1        28     30.02
            FUV20151022_032742.fits   2015/10/22T03:27:42       1        43      0.13
            FUV20151022_032755.fits   2015/10/22T03:27:55       1       131      1.03
            FUV20151022_032816.fits   2015/10/22T03:28:16       1       123      5.02
            FUV20151022_032927.fits   2015/10/22T03:29:27       1        66     30.02
            FUV20151022_033242.fits   2015/10/22T03:32:42       1        19      0.13
            FUV20151022_033255.fits   2015/10/22T03:32:55       1        79      1.02
            FUV20151022_033316.fits   2015/10/22T03:33:16       1        75      5.02
            FUV20151022_033427.fits   2015/10/22T03:34:27       1        67     30.02
            FUV20151022_033742.fits   2015/10/22T03:37:42       1        20      0.13
            FUV20151022_033816.fits   2015/10/22T03:38:16       1        88      5.02
            FUV20151022_033927.fits   2015/10/22T03:39:27       1        59     30.02
