#2016/06 Number Pass = 152 (100.000%)
                     file                  time    pass    total5   exptime
  NUV20160603_003851.fits   2016/06/03T00:38:51       1        26      0.12
  NUV20160603_003903.fits   2016/06/03T00:39:03       1        34      1.02
  NUV20160603_003920.fits   2016/06/03T00:39:20       1        62      5.02
  NUV20160603_004006.fits   2016/06/03T00:40:06       1        39     30.02
  NUV20160603_004351.fits   2016/06/03T00:43:51       1        31      0.05
  NUV20160603_004403.fits   2016/06/03T00:44:03       1        73      1.02
  NUV20160603_004420.fits   2016/06/03T00:44:20       1        80      5.02
  NUV20160603_004506.fits   2016/06/03T00:45:06       1        44     30.02
  NUV20160603_004851.fits   2016/06/03T00:48:51       1        86      0.05
  NUV20160603_004903.fits   2016/06/03T00:49:03       1        68      1.02
  NUV20160603_004920.fits   2016/06/03T00:49:20       1        55      5.02
  NUV20160603_005006.fits   2016/06/03T00:50:06       1        53     30.02
  NUV20160603_005351.fits   2016/06/03T00:53:51       1        56      0.05
  NUV20160603_005403.fits   2016/06/03T00:54:03       1       118      1.02
  NUV20160603_005420.fits   2016/06/03T00:54:20       1       119      5.02
  NUV20160603_005506.fits   2016/06/03T00:55:06       1        43     30.02
  NUV20160603_005851.fits   2016/06/03T00:58:51       1        20      0.05
  NUV20160603_005903.fits   2016/06/03T00:59:03       1        91      1.03
  NUV20160603_005920.fits   2016/06/03T00:59:20       1        64      5.02
  NUV20160603_010006.fits   2016/06/03T01:00:06       1        46     30.02
  NUV20160603_010351.fits   2016/06/03T01:03:51       1        30      0.05
  NUV20160603_010403.fits   2016/06/03T01:04:03       1        71      1.02
  NUV20160603_010420.fits   2016/06/03T01:04:20       1        63      5.02
  NUV20160603_010506.fits   2016/06/03T01:05:06       1        40     30.02
  NUV20160603_010851.fits   2016/06/03T01:08:51       1         9      0.05
  NUV20160603_010903.fits   2016/06/03T01:09:03       1        42      1.02
  NUV20160603_010920.fits   2016/06/03T01:09:20       1        24      5.02
  NUV20160603_011006.fits   2016/06/03T01:10:06       1        30     30.02
  NUV20160603_011351.fits   2016/06/03T01:13:51       1         6      0.05
  NUV20160603_011403.fits   2016/06/03T01:14:03       1         7      1.02
  NUV20160603_011420.fits   2016/06/03T01:14:20       1        21      5.02
  NUV20160603_011506.fits   2016/06/03T01:15:06       1        29     30.02
  NUV20160603_011851.fits   2016/06/03T01:18:51       1         6      0.05
  NUV20160603_011903.fits   2016/06/03T01:19:03       1         6      1.02
  NUV20160603_011920.fits   2016/06/03T01:19:20       1        17      5.02
  NUV20160603_012006.fits   2016/06/03T01:20:06       1        27     30.02
  NUV20160603_012351.fits   2016/06/03T01:23:51       1        23      0.05
  NUV20160603_012403.fits   2016/06/03T01:24:03       1        24      1.02
  NUV20160603_012420.fits   2016/06/03T01:24:20       1        24      5.02
  NUV20160603_012506.fits   2016/06/03T01:25:06       1        29     30.02
  NUV20160603_012851.fits   2016/06/03T01:28:51       1        46      0.05
  NUV20160603_012903.fits   2016/06/03T01:29:03       1        39      1.02
  NUV20160603_012920.fits   2016/06/03T01:29:20       1        49      5.02
  NUV20160603_013006.fits   2016/06/03T01:30:06       1        41     30.02
  NUV20160603_013351.fits   2016/06/03T01:33:51       1        32      0.05
  NUV20160603_013403.fits   2016/06/03T01:34:03       1       120      1.02
  NUV20160603_013420.fits   2016/06/03T01:34:20       1        48      5.02
  NUV20160603_013506.fits   2016/06/03T01:35:06       1        52     30.02
  NUV20160603_013851.fits   2016/06/03T01:38:51       1        33      0.05
  NUV20160603_013903.fits   2016/06/03T01:39:03       1       122      1.02
  NUV20160603_013920.fits   2016/06/03T01:39:20       1        81      5.02
  NUV20160603_014006.fits   2016/06/03T01:40:06       1        57     30.02
  NUV20160603_014351.fits   2016/06/03T01:43:51       1        54      0.05
  NUV20160603_014403.fits   2016/06/03T01:44:03       1       108      1.02
  NUV20160603_014420.fits   2016/06/03T01:44:20       1        78      5.02
  NUV20160603_014506.fits   2016/06/03T01:45:06       1        34     30.02
  NUV20160603_014851.fits   2016/06/03T01:48:51       1        66      0.05
  NUV20160603_014903.fits   2016/06/03T01:49:03       1        97      1.02
  NUV20160603_014920.fits   2016/06/03T01:49:20       1        88      5.02
  NUV20160603_015006.fits   2016/06/03T01:50:06       1        57     30.02
  NUV20160603_015351.fits   2016/06/03T01:53:51       1        23      0.05
  NUV20160603_015403.fits   2016/06/03T01:54:03       1        40      1.02
  NUV20160603_015420.fits   2016/06/03T01:54:20       1        34      5.02
  NUV20160603_015506.fits   2016/06/03T01:55:06       1        31     30.02
  NUV20160603_015851.fits   2016/06/03T01:58:51       1        22      0.05
  NUV20160603_015903.fits   2016/06/03T01:59:03       1        20      1.02
  NUV20160603_015920.fits   2016/06/03T01:59:20       1        20      5.02
  NUV20160603_020006.fits   2016/06/03T02:00:06       1         0     30.02
  NUV20160603_020351.fits   2016/06/03T02:03:51       1         8      0.05
  NUV20160603_020403.fits   2016/06/03T02:04:03       1        11      1.02
  NUV20160603_020420.fits   2016/06/03T02:04:20       1        21      5.02
  NUV20160603_020506.fits   2016/06/03T02:05:06       1        34     30.02
  NUV20160603_020851.fits   2016/06/03T02:08:51       1        11      0.05
  NUV20160603_020903.fits   2016/06/03T02:09:03       1        16      1.02
  NUV20160603_020920.fits   2016/06/03T02:09:20       1        21      5.02
  NUV20160603_021006.fits   2016/06/03T02:10:06       1        35     30.02
  NUV20160629_231953.fits   2016/06/29T23:19:53       1        30      0.05
  NUV20160629_232005.fits   2016/06/29T23:20:05       1        96      1.02
  NUV20160629_232022.fits   2016/06/29T23:20:22       1        70      5.02
  NUV20160629_232108.fits   2016/06/29T23:21:08       1        59     30.02
  NUV20160629_232453.fits   2016/06/29T23:24:53       1        48      0.05
  NUV20160629_232505.fits   2016/06/29T23:25:05       1       108      1.02
  NUV20160629_232522.fits   2016/06/29T23:25:22       1        74      5.02
  NUV20160629_232608.fits   2016/06/29T23:26:08       1        47     30.02
  NUV20160629_232953.fits   2016/06/29T23:29:53       1        30      0.05
  NUV20160629_233005.fits   2016/06/29T23:30:05       1       116      1.02
  NUV20160629_233022.fits   2016/06/29T23:30:22       1        62      5.02
  NUV20160629_233108.fits   2016/06/29T23:31:08       1        42     30.02
  NUV20160629_233453.fits   2016/06/29T23:34:53       1        35      0.05
  NUV20160629_233505.fits   2016/06/29T23:35:05       1        67      1.02
  NUV20160629_233522.fits   2016/06/29T23:35:22       1        79      5.02
  NUV20160629_233608.fits   2016/06/29T23:36:08       1        48     30.02
  NUV20160629_233953.fits   2016/06/29T23:39:53       1        11      0.05
  NUV20160629_234005.fits   2016/06/29T23:40:05       1        65      1.02
  NUV20160629_234022.fits   2016/06/29T23:40:22       1        86      5.02
