#2017/11 Number Pass = 115 (99.1379%)
                               file                  time    pass    total5   exptime
            NUV20171102_011133.fits   2017/11/02T01:11:33       1        27      0.05
            NUV20171102_011142.fits   2017/11/02T01:11:42       1       110      1.02
            NUV20171102_011201.fits   2017/11/02T01:12:01       1        89      5.02
            NUV20171102_011257.fits   2017/11/02T01:12:57       1        59     30.02
            NUV20171102_011632.fits   2017/11/02T01:16:32       1        13      0.05
            NUV20171102_011646.fits   2017/11/02T01:16:46       1        73      1.05
            NUV20171102_011701.fits   2017/11/02T01:17:01       1        73      5.02
            NUV20171102_011759.fits   2017/11/02T01:17:59       1        45     30.02
            NUV20171102_012135.fits   2017/11/02T01:21:35       1         6      0.05
            NUV20171102_012144.fits   2017/11/02T01:21:44       1        85      1.02
            NUV20171102_012202.fits   2017/11/02T01:22:02       1        57      5.02
            NUV20171102_012250.fits   2017/11/02T01:22:50       1        60     30.02
            NUV20171102_012636.fits   2017/11/02T01:26:36       1         9      0.06
            NUV20171102_012648.fits   2017/11/02T01:26:48       1        27      1.05
            NUV20171102_012701.fits   2017/11/02T01:27:01       1        57      5.02
            NUV20171102_012759.fits   2017/11/02T01:27:59       1        61     30.02
            NUV20171102_013136.fits   2017/11/02T01:31:36       1         7      0.06
            NUV20171102_013142.fits   2017/11/02T01:31:42       1        33      1.02
            NUV20171102_013201.fits   2017/11/02T01:32:01       1        47      5.02
            NUV20171102_013250.fits   2017/11/02T01:32:50       1        64     30.02
            NUV20171102_013631.fits   2017/11/02T01:36:31       1        24      0.11
            NUV20171102_013647.fits   2017/11/02T01:36:47       1        32      1.03
            NUV20171102_013700.fits   2017/11/02T01:37:00       1        52      5.02
            NUV20171102_013759.fits   2017/11/02T01:37:59       1        50     30.02
            NUV20171102_014132.fits   2017/11/02T01:41:32       1        44      0.11
            NUV20171102_014144.fits   2017/11/02T01:41:44       1       114      1.04
            NUV20171102_014204.fits   2017/11/02T01:42:04       1        70      5.02
            NUV20171102_014250.fits   2017/11/02T01:42:50       1        53     30.02
            NUV20171102_014631.fits   2017/11/02T01:46:31       1        47      0.11
            NUV20171102_014647.fits   2017/11/02T01:46:47       1        76      1.05
            NUV20171102_014701.fits   2017/11/02T01:47:01       1        75      5.02
            NUV20171102_014751.fits   2017/11/02T01:47:51       1        62     30.02
            NUV20171102_015135.fits   2017/11/02T01:51:35       1        21      0.05
            NUV20171102_015143.fits   2017/11/02T01:51:43       1        95      1.03
            NUV20171102_015200.fits   2017/11/02T01:52:00       1        72      5.02
            NUV20171102_015259.fits   2017/11/02T01:52:59       1        45     30.02
            NUV20171102_015635.fits   2017/11/02T01:56:35       1        37      0.05
            NUV20171102_015646.fits   2017/11/02T01:56:46       1        99      1.05
            NUV20171102_015700.fits   2017/11/02T01:57:00       1        87      5.02
            NUV20171102_015758.fits   2017/11/02T01:57:58       1        57     30.02
            NUV20171102_020136.fits   2017/11/02T02:01:36       1       111      0.07
            NUV20171102_020148.fits   2017/11/02T02:01:48       0       340      1.04
            NUV20171102_020201.fits   2017/11/02T02:02:01       1       237      5.02
            NUV20171102_020250.fits   2017/11/02T02:02:50       1        86     30.02
            NUV20171102_020636.fits   2017/11/02T02:06:36       1        38      0.06
            NUV20171102_020648.fits   2017/11/02T02:06:48       1        64      1.05
            NUV20171102_020701.fits   2017/11/02T02:07:01       1        74      5.02
            NUV20171102_020750.fits   2017/11/02T02:07:50       1        67     30.02
            NUV20171102_021136.fits   2017/11/02T02:11:36       1        15      0.07
            NUV20171102_021143.fits   2017/11/02T02:11:43       1        35      1.02
            NUV20171102_021200.fits   2017/11/02T02:12:00       1        49      5.02
            NUV20171102_021257.fits   2017/11/02T02:12:57       1        58     30.02
            NUV20171102_021636.fits   2017/11/02T02:16:36       1        12      0.06
            NUV20171102_021645.fits   2017/11/02T02:16:45       1        38      1.03
            NUV20171102_021701.fits   2017/11/02T02:17:01       1        61      5.02
            NUV20171102_021759.fits   2017/11/02T02:17:59       1        75     30.02
            NUV20171102_022139.fits   2017/11/02T02:21:39       1         9      0.10
            NUV20171102_022142.fits   2017/11/02T02:21:42       1        23      1.02
            NUV20171102_022201.fits   2017/11/02T02:22:01       1        61      5.02
            NUV20171102_022257.fits   2017/11/02T02:22:57       1        82     30.02
            NUV20171102_022635.fits   2017/11/02T02:26:35       1        15      0.05
            NUV20171102_022644.fits   2017/11/02T02:26:44       1        60      1.05
            NUV20171102_022702.fits   2017/11/02T02:27:02       1        68      5.02
            NUV20171102_022759.fits   2017/11/02T02:27:59       1        67     30.02
            NUV20171130_000743.fits   2017/11/30T00:07:43       1        10      0.11
            NUV20171130_000751.fits   2017/11/30T00:07:51       1        99      1.04
            NUV20171130_000804.fits   2017/11/30T00:08:04       1        83      5.02
            NUV20171130_000854.fits   2017/11/30T00:08:54       1        57     30.02
            NUV20171130_001246.fits   2017/11/30T00:12:46       1        18      0.05
            NUV20171130_001259.fits   2017/11/30T00:12:59       1        32      1.05
            NUV20171130_001304.fits   2017/11/30T00:13:04       1        62      5.02
            NUV20171130_001350.fits   2017/11/30T00:13:50       1        74     30.02
            NUV20171130_001749.fits   2017/11/30T00:17:49       1         8      0.09
            NUV20171130_001758.fits   2017/11/30T00:17:58       1        67      1.04
            NUV20171130_001804.fits   2017/11/30T00:18:04       1        82      5.02
            NUV20171130_001854.fits   2017/11/30T00:18:54       1        75     30.02
            NUV20171130_002247.fits   2017/11/30T00:22:47       1         7      0.06
